mcg,gvh,almScore,mitScore,PresenceOfHDEL,pox,vacScore,nucScore,Protien Localization
0.58,0.61,4.7,1.3,No,0,4.8,2.2,Mitochondrial
0.43,0.67,4.8,2.7,No,0,5.3,2.2,Mitochondrial
0.64,0.62,4.9,1.5,No,0,5.3,2.2,Mitochondrial
0.58,0.44,5.7,1.3,No,0,5.4,2.2,Nuclear
0.42,0.44,4.8,5.4,No,0,4.8,2.2,Mitochondrial
0.51,0.4,5.6,1.7,No,0.5,4.9,2.2,Cytoskeletal
0.5,0.54,4.8,6.5,No,0,5.3,2.2,Mitochondrial
0.48,0.45,5.9,2,No,0,5.8,3.4,Nuclear
0.55,0.5,6.6,3.6,No,0,4.9,2.2,Mitochondrial
0.4,0.39,6,1.5,No,0,5.8,3,Cytoskeletal
0.43,0.39,5.4,2.1,No,0,5.3,2.7,Nuclear
0.42,0.37,5.9,2,No,0,5.2,2.9,Nuclear
0.4,0.42,5.7,3.5,No,0,5.3,2.5,Cytoskeletal
0.6,0.4,5.2,4.6,No,0,5.3,2.2,Mitochondrial
0.66,0.55,4.5,1.9,No,0,4.6,2.2,Mitochondrial
0.46,0.44,5.2,1.1,No,0,5,2.2,Cytoskeletal
0.47,0.39,5,1.1,No,0,4.9,4,Cytoskeletal
0.58,0.47,5.4,1.1,No,0,5.1,2.6,Nuclear
0.5,0.34,5.5,2.1,No,0,4.9,2.2,Nuclear
0.61,0.6,5.5,2.1,No,0,5,2.5,Nuclear
0.45,0.4,5,1.6,No,0,5,2.2,Cytoskeletal
0.43,0.44,4.8,2.2,No,0,5.1,2.2,Cytoskeletal
0.73,0.63,4.2,3,No,0,4.9,2.2,Cytoskeletal
0.43,0.53,5.2,1.3,No,0,5.5,2.2,Cytoskeletal
0.46,0.53,5.2,1.5,No,0,5.8,2.2,Cytoskeletal
0.51,0.51,5.2,5.1,No,0,5.4,2.2,Mitochondrial
0.59,0.45,5.3,1.9,No,0,5.9,2.7,Cytoskeletal
0.57,0.47,6,1.8,No,0,5.1,2.2,Cytoskeletal
0.63,0.67,5.7,2.4,No,0,4.9,2.2,Mitochondrial
0.53,0.54,4.3,1,No,0,5.7,3.2,Nuclear
0.51,0.51,4.3,8.7,No,0,5.2,2.2,Mitochondrial
0.38,0.61,6.1,1.2,No,0,5.3,4.7,Cytoskeletal
0.33,0.55,5.1,4.3,No,0,5.1,2.2,Nuclear
0.72,0.61,4.5,3,No,0,5.4,2.5,Mitochondrial
0.4,0.45,5.7,1.8,No,0,5.6,2.6,Cytoskeletal
0.59,0.53,4.3,4.4,No,0,5,2.2,Mitochondrial
0.57,0.53,5.3,3.4,No,0,5.3,2.2,Mitochondrial
